id,ip,page,date,heure,minute,seconde
1,66.131.192.42,/accueil/index.php,15-09-2014,22,17,36
2,66.131.192.42,/cooperative/index.php,15-09-2014,22,17,51
3,66.131.192.42,/produits/index.php,15-09-2014,22,17,58
4,66.131.192.42,/presse/index.php,15-09-2014,22,18,25
5,66.131.192.42,/info/index.php,15-09-2014,22,18,42
6,66.131.192.42,/partenaires/index.php,15-09-2014,22,18,50
7,66.131.192.42,/partenaires/index.php,15-09-2014,22,19,27
8,66.131.192.42,/cooperative/index.php,15-09-2014,22,19,36
9,66.131.192.42,/cooperative/index.php,15-09-2014,22,22,45
10,66.131.192.42,/produits/index.php,15-09-2014,22,22,50
11,66.131.192.42,/presse/index.php,15-09-2014,22,23,6
12,184.151.112.48,/accueil/index.php,15-09-2014,22,29,47
13,66.131.192.42,/accueil/index.php,15-09-2014,22,30,5
14,184.151.112.48,/cooperative/index.php,15-09-2014,22,30,23
15,184.151.112.48,/accueil/index.php,15-09-2014,22,31,22
16,184.151.112.48,/accueil/index.php,15-09-2014,22,32,34
17,184.151.112.48,/partenaires/index.php,15-09-2014,22,32,45
18,184.151.112.48,/info/index.php,15-09-2014,22,32,57
19,184.151.112.48,/presse/index.php,15-09-2014,22,33,9
20,184.151.112.48,/produits/index.php,15-09-2014,22,33,21
21,184.151.112.48,/cooperative/index.php,15-09-2014,22,33,39
22,184.151.112.48,/accueil/index.php,15-09-2014,22,34,6
23,184.151.112.48,/accueil/index.php,15-09-2014,22,34,41
24,184.151.112.48,/accueil/index.php,15-09-2014,22,34,56
25,184.151.112.48,/accueil/index.php,15-09-2014,22,35,58
26,184.151.112.48,/accueil/index.php,15-09-2014,22,37,10
27,184.151.112.48,/accueil/index.php,15-09-2014,22,37,23
28,184.151.112.48,/accueil/index.php,15-09-2014,22,37,41
29,184.151.112.48,/accueil/index.php,15-09-2014,22,39,2
30,184.151.112.48,/accueil/index.php,15-09-2014,22,40,29
31,184.151.112.48,/accueil/index.php,15-09-2014,22,41,55
32,66.131.192.42,/accueil/index.php,15-09-2014,22,43,7
33,66.131.192.42,/accueil/index.php,15-09-2014,22,43,29
34,66.131.192.42,/accueil/index.php,15-09-2014,22,43,43
35,66.131.192.42,/accueil/index.php,15-09-2014,22,43,54
36,66.131.192.42,/accueil/index.php,15-09-2014,22,44,2
37,66.131.192.42,/accueil/index.php,15-09-2014,22,44,20
38,66.131.192.42,/accueil/index.php,15-09-2014,22,45,19
39,184.151.112.48,/accueil/index.php,15-09-2014,22,46,8
40,184.151.112.48,/accueil/index.php,15-09-2014,22,46,20
41,184.151.112.48,/accueil/index.php,15-09-2014,22,48,17
42,184.151.112.48,/accueil/index.php,15-09-2014,22,48,37
43,184.151.112.48,/accueil/index.php,15-09-2014,22,55,5
44,184.151.112.48,/accueil/index.php,15-09-2014,22,55,51
45,184.151.112.48,/accueil/index.php,15-09-2014,22,56,49
46,184.151.112.48,/accueil/index.php,15-09-2014,22,57,18
47,173.252.74.118,/accueil/index.php,15-09-2014,22,58,48
48,69.165.207.228,/accueil/index.php,15-09-2014,22,59,32
49,173.252.74.115,/accueil/index.php,15-09-2014,22,59,36
50,107.171.158.180,/accueil/index.php,15-09-2014,22,59,36
51,173.252.112.116,/accueil/index.php,15-09-2014,22,59,37
52,96.43.232.132,/accueil/index.php,15-09-2014,22,59,38
53,69.165.207.228,/cooperative/index.php,15-09-2014,23,0,20
54,96.43.232.132,/partenaires/index.php,15-09-2014,23,0,25
55,65.52.242.216,/accueil/index.php,15-09-2014,23,0,36
56,107.171.158.180,/produits/index.php,15-09-2014,23,0,47
57,69.165.207.228,/produits/index.php,15-09-2014,23,0,55
58,107.171.158.180,/cooperative/index.php,15-09-2014,23,1,0
59,96.43.232.132,/info/index.php,15-09-2014,23,1,9
